store_id,latitude,longitude,fulfilment_dc,fulfilment_dc_standard,weekly_order_value,weekly_order_cbm,monday,monday_cbm,tuesday,tuesday_cbm,wednesday,wednesday_cbm,thursday,thursday_cbm,friday,friday_cbm,has_orders,weekly_verified,has_any_constraint,has_day_constraint,excluded_days_str,exclude_holidays,has_time_constraint,time_constraint,has_fleet_constraint,max_tonnage,delivery_remark,specific_constraint,has_coordinates,has_fulfilment_dc,data_complete
DQ01,3.18121,113.0348,DC KLANG,DC_KLANG,24215.96878812222,13.160852602240336,6780.471260674221,3.685038728627294,0.0,0.0,7749.110012199111,4.211472832716908,1937.2775030497776,1.052868208179227,2905.9162545746663,1.5793023122688403,True,False,False,False,,False,False,,False,,,,True,True,True
DQ03,4.4005946,113.990548,DC KLANG,DC_KLANG,47320.436166538886,25.71762835137983,9464.087233307777,5.143525670275966,5678.452339984667,3.08611540216558,13249.72212663089,7.200935938386353,0.0,0.0,9464.087233307777,5.143525670275966,True,False,False,False,,False,False,,False,,,,True,True,True
T011,4.4007412,113.990878,DC KLANG,DC_KLANG,18314.19341216111,9.953365984870167,0.0,0.0,6593.109628377999,3.58321175455326,1465.135472972889,0.7962692787896135,4395.4064189186665,2.3888078363688403,2197.7032094593333,1.1944039181844202,True,False,False,False,,False,False,,False,,Loading at store main entrance,,True,True,True
T014,5.9787314,116.0721237,DC KLANG,DC_KLANG,6839.402681222223,3.717066674577295,1367.8805362444446,0.743413334915459,820.7283217466668,0.4460480009492754,1915.0327507422223,1.0407786688816425,0.0,0.0,1367.8805362444446,0.743413334915459,True,False,False,False,,False,False,,False,,,,True,True,True
T015,3.182514,113.0342252,DC KLANG,DC_KLANG,14782.222106166668,8.033816362047101,0.0,0.0,5321.599958220001,2.892173890336957,1182.5777684933337,0.6427053089637682,3547.73330548,1.9281159268913044,1773.86665274,0.9640579634456522,True,False,True,True,"Saturday,Sunday",True,False,,False,,On weekend and PH cannot receive by container,,True,True,True
ZL01,6.036889,116.129778,DC KLANG,DC_KLANG,51777.32693213889,28.139851593553743,10355.46538642778,5.62797031871075,6213.279231856666,3.376782191226449,14497.651540998888,7.879158446195047,0.0,0.0,10355.46538642778,5.62797031871075,True,False,False,False,,False,False,,False,,,,True,True,True
ZL02,5.912833,116.102389,DC KLANG,DC_KLANG,31435.776658144445,17.084661227252415,0.0,0.0,11316.879596932002,6.150478041810871,2514.862132651556,1.3667728981801934,7544.586397954667,4.100318694540579,3772.293198977333,2.0501593472702897,True,False,False,False,,False,False,,False,,,,True,True,True
ZL03,5.973222,116.068972,DC KLANG,DC_KLANG,25037.76386828889,13.607480363200484,5007.552773657779,2.721496072640097,3004.5316641946665,1.632897643584058,7010.573883120889,3.810094501696136,0.0,0.0,5007.552773657779,2.721496072640097,True,False,False,False,,False,False,,False,,,,True,True,True
ZL05,6.492833,116.761528,DC KLANG,DC_KLANG,53188.10614491112,28.906579426582127,0.0,0.0,19147.718212168005,10.406368593569567,4255.048491592889,2.3125263541265704,12765.145474778668,6.937579062379711,6382.572737389334,3.468789531189856,True,False,False,False,,False,False,,False,,,,True,True,True
ZL06,5.983028,116.073333,DC KLANG,DC_KLANG,23558.84984028333,12.803722739284416,4711.769968056666,2.5607445478568835,2827.061980834,1.5364467287141303,6596.4779552793325,3.5850423669996374,0.0,0.0,4711.769968056666,2.5607445478568835,True,False,True,False,,False,True,"Limited timeframe: 10:30pm to 10:00am, 3:30pm to 5:00pm",False,,Can loading after operation mall ( 10.30pm until 10.00am ) / loading from 3.30 until 5pm,,True,True,True
ZL07,6.022018,116.149097,DC KLANG,DC_KLANG,55862.28067369443,30.35993514874697,15641.43858863444,8.500781841649152,0.0,0.0,17875.92981558222,9.715179247599034,4468.982453895555,2.4287948118997584,6703.473680843332,3.643192217849637,True,False,False,False,,False,False,,False,,,,True,True,True
ZL08,5.893639,116.047639,DC KLANG,DC_KLANG,62327.40574868888,33.87359008080917,12465.481149737776,6.7747180161618346,7479.288689842665,4.0648308096971,17451.673609632886,9.484605222626568,0.0,0.0,12465.481149737776,6.7747180161618346,True,False,False,False,,False,False,,False,,,,True,True,True
ZL09,5.725984,115.935633,DC KLANG,DC_KLANG,16493.571580849995,8.96389759828804,3298.714316169999,1.7927795196576082,1979.2285897019992,1.0756677117945648,4618.200042637999,2.509891327520652,0.0,0.0,3298.714316169999,1.7927795196576082,True,False,False,False,,False,False,,False,,,,True,True,True
ZL10,5.838901,118.119651,DC KLANG,DC_KLANG,48404.4584296,26.30677088565217,9680.89168592,5.261354177130435,5808.535011552,3.1568125062782606,13553.248360287998,7.365895847982608,0.0,0.0,9680.89168592,5.261354177130435,True,False,False,False,,False,False,,False,,,,True,True,True
ZL11,5.970028,116.066583,DC KLANG,DC_KLANG,74485.22578820554,40.48110097185084,0.0,0.0,26814.681283753995,14.5731963498663,5958.818063056444,3.238488077748068,17876.45418916933,9.715464233244202,8938.227094584665,4.857732116622101,True,False,False,False,,False,False,,False,,,,True,True,True
ZL12,6.057403,116.1519,DC KLANG,DC_KLANG,57558.84605076666,31.281981549329707,11511.769210153332,6.256396309865941,6907.061526091999,3.753837785919565,16116.476894214666,8.758954833812318,0.0,0.0,11511.769210153332,6.256396309865941,True,False,False,False,,False,False,,False,,,,True,True,True
ZL13,5.338972,116.149028,DC KLANG,DC_KLANG,40228.46975167222,21.86329877808273,11263.971530468223,6.121723657863165,0.0,0.0,12873.110320535112,6.996255608986474,3218.277580133778,1.7490639022466186,4827.416370200666,2.6235958533699275,True,False,False,False,,False,False,,False,,,,True,True,True
ZL14,5.343508,115.735149,DC KLANG,DC_KLANG,31810.902440488888,17.28853393504831,0.0,0.0,11451.924878576,6.223872216617391,2544.8721952391115,1.383082714803865,7634.616585717333,4.149248144411594,3817.3082928586655,2.074624072205797,True,False,False,False,,False,False,,False,,,,True,True,True
ZL15,6.005611,116.144722,DC KLANG,DC_KLANG,40576.334329844445,22.052355614045894,8115.26686596889,4.410471122809179,4869.160119581334,2.646282673685508,11361.373612356443,6.1746595719328505,0.0,0.0,8115.26686596889,4.410471122809179,True,False,False,False,,False,False,,False,,,,True,True,True
ZL16,4.25875,117.918361,DC KLANG,DC_KLANG,80921.79240144997,43.97923500078803,0.0,0.0,29131.845264521995,15.832524600283692,6473.743392115998,3.5183388000630424,19421.23017634799,10.555016400189126,9710.615088173996,5.277508200094563,True,False,False,False,,False,False,,False,,,,True,True,True
ZL17,5.888722,118.058972,DC KLANG,DC_KLANG,47256.68619388889,25.682981627113527,13231.87213428889,7.191234855591787,0.0,0.0,15122.139582044443,8.218554120676329,3780.5348955111112,2.054638530169082,5670.802343266667,3.0819577952536235,True,False,False,False,,False,False,,False,,,,True,True,True
ZL18,5.829722,116.043167,DC KLANG,DC_KLANG,70926.37917617775,38.546945204444434,0.0,0.0,25533.496503423998,13.876900273599995,5674.110334094221,3.0837556163555546,17022.33100228266,9.251266849066662,8511.16550114133,4.625633424533331,True,False,False,False,,False,False,,False,,,,True,True,True
ZL19,5.912833,116.102389,DC KLANG,DC_KLANG,15624.30183202778,8.49146838697162,4374.8045129677785,2.3776111483520537,0.0,0.0,4999.77658624889,2.7172698838309186,1249.9441465622226,0.6793174709577297,1874.9162198433337,1.0189762064365944,True,False,False,False,,False,False,,False,,,,True,True,True
