store_id,latitude,longitude,fulfilment_dc,fulfilment_dc_standard
ZM29,3.201444,113.059222,DC KLANG,DC_KLANG
ZM30,1.508386,110.3001,DC KLANG,DC_KLANG
ZM31,3.169861,113.049389,DC KLANG,DC_KLANG
ZM32,1.2375,111.457028,DC KLANG,DC_KLANG
ZM33,1.16825,110.565097,DC KLANG,DC_KLANG
ZM34,1.526442,110.337741,DC KLANG,DC_KLANG
ZM35,2.239717,111.979357,DC KLANG,DC_KLANG
ZM36,4.343805,113.993028,DC KLANG,DC_KLANG
ZM37,3.170204,113.042078,DC KLANG,DC_KLANG
ZM38,3.181667,113.034528,DC KLANG,DC_KLANG
ZM39,1.553567,110.335182,DC KLANG,DC_KLANG
ZM40,2.100692,112.157087,DC KLANG,DC_KLANG
ZM41,2.16982,111.63534,DC KLANG,DC_KLANG
ZM42,1.364935,110.401721,DC KLANG,DC_KLANG
ZM43,3.266737,113.099449,DC KLANG,DC_KLANG
ZM44,3.197914,113.088112,DC KLANG,DC_KLANG
ZM45,4.859208,115.405298,DC KLANG,DC_KLANG
ZM46,4.057032,113.84587,DC KLANG,DC_KLANG
ZM47,3.80567,113.75109,DC KLANG,DC_KLANG
ZM48,4.480253,114.039905,DC KLANG,DC_KLANG
ZM49,1.496372,110.370684,DC KLANG,DC_KLANG
ZM50,1.636869,110.341087,DC KLANG,DC_KLANG
ZM51,1.466301,110.327588,DC KLANG,DC_KLANG
ZM52,4.178504,114.322493,DC KLANG,DC_KLANG
ZM53,1.34893,110.408234,DC KLANG,DC_KLANG
ZM54,3.200658,113.047386,DC KLANG,DC_KLANG
ZM55,4.31772,113.99332,DC KLANG,DC_KLANG
ZM56,1.568086,110.30723,DC KLANG,DC_KLANG
ZM57,1.41924,110.15823,DC KLANG,DC_KLANG
ZM58,2.525341,112.3243178,DC KLANG,DC_KLANG
ZM59,1.495868,110.402425,DC KLANG,DC_KLANG
ZM60,1.291934851,110.4140709,DC KLANG,DC_KLANG
ZM61,1.5975457,110.3362237,DC KLANG,DC_KLANG
ZM62,4.39713,113.99354,DC KLANG,DC_KLANG
ZM63,2.290475,111.825468,DC KLANG,DC_KLANG
ZM64,1.50788,110.33457,DC KLANG,DC_KLANG
ZM65,4.449136,114.031724,DC KLANG,DC_KLANG
ZM66,4.41609105318427,114.015330113188,DC KLANG,DC_KLANG
ZM67,4.50175,114.034828,DC KLANG,DC_KLANG
ZM68,1.512646,110.389263,DC KLANG,DC_KLANG
ZM69,2.012294,112.925517,DC KLANG,DC_KLANG
ZM70,1.456472,110.159178,DC KLANG,DC_KLANG
ZM71,4.0981,113.964018,DC KLANG,DC_KLANG
ZM72,1.449494,110.418884,DC KLANG,DC_KLANG
ZM73,1.527156,110.375113,DC KLANG,DC_KLANG
ZM74,1.507328623,110.360895,DC KLANG,DC_KLANG
ZM75,1.425573,110.324184,DC KLANG,DC_KLANG
ZM76,3.190655,113.047098,DC KLANG,DC_KLANG
ZM77,1.577636,110.250168,DC KLANG,DC_KLANG
ZM78,4.389414,113.985409,DC KLANG,DC_KLANG
ZM79,1.530983,110.367277,DC KLANG,DC_KLANG
ZM80,1.207324,110.531198,DC KLANG,DC_KLANG
ZM81,1.443353,110.376882,DC KLANG,DC_KLANG
ZM82,1.740702,111.334737,DC KLANG,DC_KLANG
