store_id,has_time_constraint,constraint_type,day_of_week,start_time,end_time,cutoff_time,direction,original_constraint
T019,True,blackout,Friday,12:30,14:30,,during,No unloading at store: Friday - 12:30pm to 2:30pm
TK01,True,blackout,Friday,12:30,14:30,,during,No unloading at store: Friday - 12:30pm to 2:30pm
ZH03,True,cutoff,Daily,,20:00,,after,No unloading at store: Daily - after 8:00pm
ZH12,True,cutoff,Wednesday,,15:00,,after,No unloading at store: Wednesday - after 3:00pm
ZH14,True,cutoff,Daily,,10:00,,after,No unloading at store: Daily - after 10:00am
ZH82,True,cutoff,Friday,,10:00,,after,"No unloading at store: Friday - after 10:00am, Saturday - after 10:00am"
ZH82,True,cutoff,Saturday,,10:00,,after,"No unloading at store: Friday - after 10:00am, Saturday - after 10:00am"
ZI71,True,cutoff,Wednesday,,,12:00,before,"No unloading at store: Wednesday - before 12:00pm, Saturday - after 1pm"
ZJ09,True,blackout,Daily,11:00,14:00,,during,No unloading at store: Daily - 11:00am to 2:00pm
ZJ79,True,cutoff,Monday,,16:30,,after,"No unloading at store: Monday - after 4:30pm, Thursday - after 4:30pm"
ZJ79,True,cutoff,Thursday,,16:30,,after,"No unloading at store: Monday - after 4:30pm, Thursday - after 4:30pm"
ZJ95,True,blackout,Daily,12:00,14:00,,during,No unloading at store: Daily - 12:00pm to 2:00pm
ZL06,True,window,Daily,22:30,10:00,,allowed,"Limited timeframe: 10:30pm to 10:00am, 3:30pm to 5:00pm"
ZT09,True,blackout,Daily,12:00,13:00,,during,No unloading at store: Daily - 12:00pm to 1:00pm
ZT39,True,blackout,Daily,12:00,14:00,,during,No unloading at store: Daily - 12:00pm to 2:00pm
ZT52,True,blackout,Friday,13:00,15:00,,during,No unloading at store: Friday - 1:00pm to 3:00pm
