store_id,has_time_constraint,constraints_json,original_constraint
EK04,True,"[{""type"": ""blackout"", ""day"": ""Friday"", ""start_time"": ""12:30"", ""end_time"": ""14:30"", ""direction"": ""during""}]",No unloading at store: Friday - 12:30pm to 2:30pm
EK05,False,[],
EK07,False,[],
EK08,False,[],
EK09,False,[],
EK10,False,[],
EK11,False,[],
EK12,False,[],
EK13,False,[],
EM01,False,[],
EM04,False,[],
EM05,False,[],
EM06,False,[],
EM07,False,[],
EM08,False,[],
EM09,False,[],
EN01,False,[],
EN02,False,[],
EN03,False,[],
EN05,False,[],
EN06,False,[],
EN07,False,[],
EN08,False,[],
EN09,False,[],
EN10,False,[],
EP01,False,[],
EP02,False,[],
EP03,False,[],
EP04,False,[],
EP05,False,[],
EP06,False,[],
EP07,False,[],
ER01,False,[],
ER02,False,[],
ET01,True,"[{""type"": ""blackout"", ""day"": ""Friday"", ""start_time"": ""12:30"", ""end_time"": ""14:30"", ""direction"": ""during""}]",No unloading at store: Friday - 12:30pm to 2:30pm
ET02,False,[],
ET03,False,[],
EW01,False,[],
EW02,False,[],
EW03,False,[],
EW04,False,[],
EW05,False,[],
EW06,False,[],
EW07,False,[],
P001,False,[],
P002,False,[],
P003,False,[],
P005,False,[],
P007,False,[],
P010,False,[],
P011,False,[],
P012,False,[],
P014,False,[],
P015,False,[],
P016,False,[],
P017,False,[],
P018,False,[],
P020,False,[],
P021,False,[],
P022,False,[],
P025,False,[],
P026,False,[],
P027,False,[],
P029,False,[],
P031,False,[],
P032,False,[],
P033,False,[],
P034,False,[],
P037,False,[],
P040,False,[],
P041,False,[],
P042,False,[],
P043,False,[],
P044,False,[],
P045,False,[],
P046,False,[],
P047,False,[],
P049,False,[],
P050,False,[],
P051,False,[],
P052,False,[],
P054,False,[],
P055,False,[],
P056,False,[],
P061,False,[],
P064,False,[],
P065,False,[],
P068,False,[],
P069,False,[],
P070,False,[],
P071,False,[],
P073,False,[],
P074,False,[],
P077,False,[],
P082,False,[],
P083,False,[],
P086,False,[],
P088,False,[],
P091,False,[],
P092,False,[],
P093,False,[],
P094,False,[],
P095,False,[],
P096,False,[],
P097,False,[],
P098,False,[],
P099,False,[],
P100,False,[],
P101,False,[],
P102,False,[],
P103,False,[],
P104,False,[],
P105,False,[],
P106,False,[],
P107,False,[],
P108,False,[],
P109,False,[],
P110,False,[],
P111,False,[],
P112,False,[],
P113,False,[],
P114,False,[],
P115,True,"[{""type"": ""blackout"", ""day"": ""Monday"", ""start_time"": ""08:00"", ""end_time"": ""13:00"", ""direction"": ""during""}, {""type"": ""blackout"", ""day"": ""Thursday"", ""start_time"": ""16:30"", ""end_time"": ""21:00"", ""direction"": ""during""}]","No unloading at store: Monday - 8:00am to 1:00pm, Thursday - 4:30pm to 9:00pm"
P116,False,[],
P117,False,[],
P118,False,[],
P119,False,[],
P120,False,[],
P121,False,[],
P122,False,[],
P123,False,[],
P124,False,[],
P125,False,[],
P126,False,[],
P127,False,[],
P128,False,[],
P129,False,[],
P130,False,[],
P131,False,[],
P132,False,[],
P133,False,[],
P134,False,[],
P135,False,[],
P136,False,[],
P137,False,[],
P138,False,[],
P139,False,[],
P140,False,[],
P141,False,[],
P142,False,[],
P143,False,[],
P144,False,[],
P145,False,[],
P146,False,[],
P147,False,[],
P148,False,[],
P149,False,[],
P150,False,[],
P151,False,[],
P152,False,[],
P153,False,[],
P154,False,[],
P155,False,[],
P156,False,[],
P157,False,[],
P158,False,[],
P159,False,[],
P160,False,[],
P161,False,[],
P162,False,[],
P163,False,[],
P164,False,[],
P165,False,[],
P166,False,[],
P167,False,[],
P168,False,[],
P169,False,[],
P170,False,[],
P171,False,[],
P172,False,[],
P173,False,[],
P176,False,[],
PD01,False,[],
PD02,False,[],
PD03,False,[],
PD04,False,[],
PD05,False,[],
PD06,False,[],
PD07,False,[],
PD08,False,[],
PD09,False,[],
PD10,False,[],
PD11,False,[],
PD12,False,[],
PD13,False,[],
PD14,False,[],
PD16,False,[],
PD17,False,[],
PD18,False,[],
PD19,False,[],
PD20,False,[],
PD21,False,[],
PD22,False,[],
PD23,False,[],
PD24,False,[],
PD25,False,[],
PD26,False,[],
PD27,False,[],
PD35,False,[],
PD36,False,[],
PD37,False,[],
PD38,True,"[{""type"": ""blackout"", ""day"": ""Friday"", ""start_time"": ""12:30"", ""end_time"": ""14:30"", ""direction"": ""during""}]",No unloading at store: Friday - 12:30pm to 2:30pm
PD39,False,[],
PD40,False,[],
PD41,False,[],
Q001,False,[],
Q002,False,[],
Q005,False,[],
Q006,False,[],
Q007,False,[],
Q008,False,[],
Q009,False,[],
Q010,False,[],
Q013,False,[],
Q014,False,[],
Q015,False,[],
Q016,False,[],
Q017,False,[],
Q018,False,[],
Q019,False,[],
Q020,False,[],
Q021,False,[],
Q022,False,[],
Q023,False,[],
Q024,False,[],
Q025,False,[],
Q026,False,[],
Q027,False,[],
Q028,False,[],
Q029,False,[],
Q030,False,[],
Q031,False,[],
Q032,True,"[{""type"": ""cutoff"", ""day"": ""Tuesday"", ""start_time"": null, ""end_time"": null, ""cutoff_time"": ""10:00"", ""direction"": ""before""}]",No unloading at store: Tuesday - before 10:00am
Q033,False,[],
Q034,False,[],
Q035,False,[],
Q036,False,[],
Q037,False,[],
Q038,False,[],
Q039,False,[],
Q040,True,"[{""type"": ""cutoff"", ""day"": ""Friday"", ""start_time"": null, ""end_time"": ""16:30"", ""cutoff_time"": null, ""direction"": ""after""}]",No unloading at store: Friday - after 4:30pm
Q041,False,[],
Q042,False,[],
Q043,False,[],
Q044,False,[],
Q045,False,[],
Q046,True,"[{""type"": ""cutoff"", ""day"": ""Saturday"", ""start_time"": null, ""end_time"": ""12:00"", ""cutoff_time"": null, ""direction"": ""after""}]",No unloading at store: Saturday - after 12:00pm
Q047,False,[],
Q048,False,[],
Q049,False,[],
Q050,False,[],
Q051,False,[],
Q052,False,[],
Q053,False,[],
Q054,False,[],
Q055,False,[],
Q056,False,[],
Q057,False,[],
Q058,False,[],
Q059,False,[],
Q060,False,[],
Q061,False,[],
Q062,False,[],
Q063,False,[],
Q064,False,[],
Q065,False,[],
Q066,False,[],
Q067,False,[],
Q068,False,[],
Q069,False,[],
Q070,False,[],
Q071,False,[],
Q072,False,[],
Q073,False,[],
Q074,False,[],
Q075,False,[],
Q076,False,[],
Q077,False,[],
Q078,False,[],
Q079,False,[],
Q080,False,[],
Q081,False,[],
Q082,False,[],
Q083,False,[],
Q084,False,[],
Q085,False,[],
Q086,False,[],
Q087,False,[],
Q088,False,[],
Q090,False,[],
Q091,False,[],
Q092,False,[],
Q093,False,[],
Q094,False,[],
Q095,False,[],
Q096,False,[],
Q097,False,[],
Q098,False,[],
Q099,False,[],
Q100,False,[],
Q101,False,[],
Q102,False,[],
Q103,False,[],
Q104,False,[],
Q105,False,[],
Q106,False,[],
Q107,False,[],
Q108,False,[],
Q109,False,[],
Q110,False,[],
Q112,False,[],
Q113,False,[],
Q114,False,[],
Q115,False,[],
Q116,False,[],
Q117,False,[],
Q118,False,[],
Q119,False,[],
Q120,False,[],
Q121,False,[],
Q122,False,[],
T001,False,[],
T002,False,[],
T003,False,[],
T004,False,[],
T005,False,[],
T006,False,[],
T007,False,[],
T008,True,"[{""type"": ""blackout"", ""day"": ""Daily"", ""start_time"": ""12:00"", ""end_time"": ""14:00"", ""direction"": ""during""}]",No unloading at store: Daily - 12:00pm to 2:00pm
T009,False,[],
T010,False,[],
T011,False,[],
T012,False,[],
T013,False,[],
T014,False,[],
T015,False,[],
T016,False,[],
T017,False,[],
T018,False,[],
T019,True,"[{""type"": ""blackout"", ""day"": ""Friday"", ""start_time"": ""12:30"", ""end_time"": ""14:30"", ""direction"": ""during""}]",No unloading at store: Friday - 12:30pm to 2:30pm
T020,False,[],
T021,False,[],
T022,False,[],
T023,False,[],
T025,False,[],
T026,False,[],
T027,False,[],
T028,False,[],
T030,False,[],
TA01,False,[],
TA02,False,[],
TB01,False,[],
TB02,False,[],
TB03,False,[],
TB04,False,[],
TB05,False,[],
TC01,False,[],
TC02,False,[],
TC03,False,[],
TD01,False,[],
TJ04,False,[],
TJ05,False,[],
TJ08,False,[],
TJ09,False,[],
TJ10,False,[],
TK01,True,"[{""type"": ""blackout"", ""day"": ""Friday"", ""start_time"": ""12:30"", ""end_time"": ""14:30"", ""direction"": ""during""}]",No unloading at store: Friday - 12:30pm to 2:30pm
TK02,False,[],
TK03,False,[],
TM01,False,[],
TN01,False,[],
TN02,False,[],
TN03,False,[],
TP01,False,[],
TP02,False,[],
TP03,False,[],
TP04,False,[],
TQ01,False,[],
TW01,False,[],
TW02,False,[],
TW03,False,[],
ZH01,False,[],
ZH02,False,[],
ZH03,True,"[{""type"": ""cutoff"", ""day"": ""Daily"", ""start_time"": null, ""end_time"": ""20:00"", ""cutoff_time"": null, ""direction"": ""after""}]",No unloading at store: Daily - after 8:00pm
ZH04,False,[],
ZH05,False,[],
ZH06,False,[],
ZH07,False,[],
ZH08,False,[],
ZH09,False,[],
ZH10,False,[],
ZH11,False,[],
ZH12,True,"[{""type"": ""cutoff"", ""day"": ""Wednesday"", ""start_time"": null, ""end_time"": ""15:00"", ""cutoff_time"": null, ""direction"": ""after""}]",No unloading at store: Wednesday - after 3:00pm
ZH13,False,[],
ZH14,True,"[{""type"": ""cutoff"", ""day"": ""Daily"", ""start_time"": null, ""end_time"": ""10:00"", ""cutoff_time"": null, ""direction"": ""after""}]",No unloading at store: Daily - after 10:00am
ZH15,False,[],
ZH16,False,[],
ZH17,False,[],
ZH18,False,[],
ZH20,False,[],
ZH21,False,[],
ZH22,False,[],
ZH23,False,[],
ZH24,False,[],
ZH25,False,[],
ZH26,False,[],
ZH27,False,[],
ZH28,False,[],
ZH29,False,[],
ZH30,False,[],
ZH31,False,[],
ZH32,False,[],
ZH33,False,[],
ZH34,False,[],
ZH35,False,[],
ZH36,False,[],
ZH37,False,[],
ZH38,False,[],
ZH39,False,[],
ZH40,False,[],
ZH41,False,[],
ZH42,False,[],
ZH43,False,[],
ZH44,False,[],
ZH45,False,[],
ZH46,False,[],
ZH47,False,[],
ZH48,False,[],
ZH49,False,[],
ZH50,False,[],
ZH51,False,[],
ZH52,False,[],
